"category","trait","ugly_points"
"Head","UGS Delivery","238"
"Head","Blindfold","235"
"Head","Headphones","232"
"Head","Hood","229"
"Head","Indian","226"
"Head","Diving Mask","223"
"Head","Lobster","220"
"Head","Green Visor","217"
"Head","Acupuncture","215"
"Head","Basketball","213"
"Head","Elf Human Air","211"
"Head","Watermelon","209"
"Head","Elf Hood","207"
"Head","Flower Power","205"
"Head","Long Hair","203"
"Head","Beer","201"
"Head","Bunny","199"
"Head","Imposter Mask","197"
"Head","Fro Comb","195"
"Head","Halo","193"
"Head","Knife","191"
"Head","Night Vision","189"
"Head","Proud to be Ugly","187"
"Head","Dinomite","185"
"Head","Purr Paw","183"
"Head","HeliHat","181"
"Head","I Need TP","179"
"Head","Panda Bike Helmet","177"
"Head","Pot Head","175"
"Head","Visor with Hair","173"
"Head","Rainbow","171"
"Head","Space Brain","169"
"Head","Blonde Fro Comb","167"
"Head","Zeus Hand","165"
"Head","Captain","163"
"Head","Pirate","161"
"Head","Ski Mask","159"
"Head","Dread Cap","157"
"Head","Boom Bucket","155"
"Head","Baseball","153"
"Head","Green Cap","151"
"Head","Honey Pot","149"
"Head","Pomade","147"
"Head","Bear Fur Hat","145"
"Head","Ice Cream","143"
"Head","Rastalocks","141"
"Head","3D","139"
"Head","Trucker","137"
"Head","Umbrella Hat","135"
"Head","Golfs","133"
"Head","Green Ugly","131"
"Head","Pink Beanie","129"
"Head","Rice Dome","127"
"Head","Head Canoe","125"
"Head","Brain Bucket","123"
"Head","Fiesta","121"
"Head","Cactus","119"
"Head","Fire","117"
"Head","Floral","115"
"Head","Green Mountie","113"
"Head","Lemon Bucket","111"
"Head","Notlocks","109"
"Head","90's blonde","107"
"Head","Bandana","105"
"Head","Cowboy","103"
"Head","Mountie","101"
"Head","Yellow Beanie","99"
"Head","90's Pink","97"
"Head","Black Ugly","95"
"Head","Twintails","93"
"Head","Grey Cap","91"
"Head","Cube Cut","89"
"Head","Yellow Twintails","87"
"Head","Afro","85"
"Head","Green Beanie","83"
"Head","Parted","81"
"Head","Tin Topper","79"
"Head","Bald","77"
"Head","Blond Punk","75"
"Head","Purple Punk","73"
"Skin","Unknown","170"
"Skin","Cristal","167"
"Skin","Cristal Elf","164"
"Skin","Green Camo","161"
"Skin","Purple Elf Space","158"
"Skin","Purple Space","155"
"Skin","Green Elf Camo","152"
"Skin","Green Elf","149"
"Skin","Green","146"
"Skin","Orange","144"
"Skin","Purple","142"
"Skin","Purple Elf","140"
"Skin","Orange Elf","138"
"Skin","Pink","136"
"Skin","Pink Elf","134"
"Skin","Brown","132"
"Skin","Beige","130"
"Skin","Beige Elf","128"
"Skin","Brown Elf","126"
"Skin","Dark Brown","124"
"Skin","Dark Brown Elf","122"
"Special","Laser Tits","80"
"Special","Green Laser","78"
"Special","Yellow Laser","76"
"Special","Nouns Glasses","74"
"Special","Ugly Necklace","72"
"Special","Dino","70"
"Special","Weed Necklace","68"
"Special","Parakeet","66"
"Special","Piranha","64"
"Special","Smile Necklace","62"
"Special","Monocle","60"
"Special","Sad Smile Necklace","59"
"Special","None","0"
